State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,69.46,Royal Enfield,Classic 350,"? 3,94,753.00",2020,543,Petrol,48.89,Second,2024,Active,Individual,"? 1,83,667.00",Metro
Madhya Pradesh,44.90,Yamaha,MT-15,"? 57,844.00",2019,218,Electric,61.1,Second,2022,Not Available,Dealer,"? 27,256.09",Tier 3
Gujarat,33.29,Hero,Xtreme 160R,"? 3,72,342.00",2016,728,Electric,71.96,First,2016,Active,Individual,"? 1,69,218.50",Tier 3
Delhi,75.20,Honda,Dio,"? 3,70,227.00",2022,995,Hybrid,67.05,Third,2024,Active,Dealer,"? 1,49,237.80",Tier 3
Gujarat,55.06,Bajaj,Pulsar 150,"? 61,270.00",2017,110,Electric,70.1,Third,2023,Not Available,Individual,"? 41,903.87",Tier 3
Delhi,38.56,Royal Enfield,Himalayan,"? 50,299.00",2020,982,Electric,83.33,First,2020,Active,Individual,"? 35,572.68",Tier 3
West Bengal,24.09,KTM,250 Duke,"? 1,43,809.00",2020,826,Petrol,40.33,Second,2023,Not Available,Individual,"? 85,768.87",Tier 1
Punjab,12.45,Hero,Glamour,"? 2,03,903.00",2015,145,Petrol,54.83,Second,2024,Expired,Individual,"? 93,298.77",Tier 2
Gujarat,49.05,Kawasaki,Z650,"? 1,61,619.00",2022,395,Electric,71.6,First,2022,Active,Dealer,"? 72,164.90",Tier 1
Delhi,58.43,Honda,CBR 650R,"? 3,21,787.00",2022,408,Petrol,58.28,Second,2024,Active,Dealer,"? 1,43,010.78",Metro
Tamil Nadu,20.39,Honda,Activa,"? 2,98,069.00",2017,713,Electric,60.21,First,2017,Not Available,Individual,"? 2,14,477.58",Tier 1
Tamil Nadu,12.46,TVS,Apache RTR 160,"? 1,79,570.00",2017,759,Petrol,26.13,Second,2024,Expired,Dealer,"? 85,801.53",Tier 3
Karnataka,31.76,Bajaj,CT 100,"? 2,40,568.00",2024,976,Electric,93.4,Second,2024,Expired,Dealer,"? 1,16,702.78",Tier 3
Maharashtra,56.76,TVS,Apache RTR 160,"? 95,208.00",2017,920,Electric,60.84,First,2017,Expired,Dealer,"? 59,556.83",Tier 2
Uttar Pradesh,9.72,Hero,Splendor Plus,"? 1,31,752.00",2017,140,Hybrid,94.38,Second,2021,Active,Individual,"? 60,410.82",Metro
West Bengal,55.75,Kawasaki,Ninja 400,"? 1,71,311.00",2020,848,Petrol,42.35,First,2020,Active,Individual,"? 87,803.94",Tier 1
Rajasthan,30.63,Bajaj,CT 100,"? 1,14,101.00",2022,591,Hybrid,67.01,First,2022,Not Available,Individual,"? 57,381.99",Tier 3
Maharashtra,38.39,TVS,NTorq 125,"? 2,18,647.00",2023,924,Electric,75.82,Second,2024,Not Available,Individual,"? 1,60,918.36",Metro
Rajasthan,19.00,Royal Enfield,Meteor 350,"? 3,44,022.00",2016,982,Electric,74.86,Second,2022,Expired,Dealer,"? 2,35,619.73",Metro
Gujarat,69.75,KTM,250 Duke,"? 1,22,375.00",2024,558,Petrol,55.13,Third,2024,Active,Individual,"? 59,128.88",Tier 2
Punjab,47.37,TVS,Apache RTR 160,"? 1,56,572.00",2024,765,Petrol,46.63,Third,2024,Expired,Dealer,"? 1,19,449.63",Tier 3
Tamil Nadu,65.70,Bajaj,Platina 110,"? 2,61,950.00",2016,793,Petrol,36.1,Second,2023,Active,Individual,"? 1,56,054.40",Metro
Uttar Pradesh,29.51,Royal Enfield,Classic 350,"? 3,96,747.00",2020,706,Petrol,50.38,First,2020,Active,Dealer,"? 1,74,587.68",Tier 2
Delhi,60.90,Bajaj,Dominar 400,"? 2,84,915.00",2016,223,Electric,85.82,Third,2023,Expired,Individual,"? 2,23,868.57",Tier 2
Rajasthan,75.57,Bajaj,Dominar 400,"? 1,27,668.00",2021,497,Hybrid,67,Second,2021,Not Available,Dealer,"? 96,913.52",Tier 1
Uttar Pradesh,59.88,KTM,Duke 200,"? 82,535.00",2021,187,Electric,93.88,Second,2021,Expired,Individual,"? 34,055.04",Tier 3
Madhya Pradesh,41.57,Hero,Splendor Plus,"? 91,531.00",2020,805,Petrol,54.01,Third,2024,Not Available,Individual,"? 54,842.24",Tier 2
Madhya Pradesh,12.46,Honda,CBR 650R,"? 58,709.00",2018,854,Hybrid,96.14,Second,2018,Not Available,Individual,"? 26,638.69",Tier 3
Madhya Pradesh,74.54,TVS,Jupiter,"? 2,09,207.00",2017,932,Petrol,53.92,Second,2018,Not Available,Individual,"? 97,443.25",Metro
Maharashtra,21.46,TVS,Sport,"? 2,32,597.00",2019,951,Hybrid,82.04,First,2019,Expired,Individual,"? 1,04,223.81",Metro
Uttar Pradesh,13.92,Royal Enfield,Meteor 350,"? 2,73,055.00",2015,573,Petrol,48.33,Second,2018,Active,Individual,"? 2,18,167.54",Tier 3
Delhi,17.93,Hero,HF Deluxe,"? 2,85,965.00",2020,272,Petrol,53.61,First,2020,Expired,Individual,"? 1,60,288.93",Metro
Uttar Pradesh,51.33,Bajaj,Dominar 400,"? 3,97,663.00",2018,486,Petrol,47.58,First,2018,Active,Individual,"? 3,17,302.45",Tier 1
Tamil Nadu,49.47,Hero,Glamour,"? 2,67,915.00",2022,866,Electric,62.07,Third,2024,Active,Dealer,"? 1,31,384.83",Tier 1
West Bengal,26.94,Honda,Dio,"? 1,01,523.00",2024,573,Electric,73.67,Third,2024,Expired,Dealer,"? 55,579.95",Metro
Punjab,11.77,KTM,Duke 200,"? 2,29,309.00",2024,805,Petrol,35.4,Second,2024,Not Available,Individual,"? 1,57,112.95",Tier 2
West Bengal,55.16,Royal Enfield,Hunter 350,"? 1,07,249.00",2021,473,Hybrid,86.16,Second,2022,Not Available,Individual,"? 57,556.18",Tier 1
Delhi,48.18,TVS,Apache RTR 160,"? 52,942.00",2023,827,Petrol,44.12,Second,2023,Active,Individual,"? 29,506.21",Metro
Delhi,71.56,TVS,Sport,"? 3,72,827.00",2017,944,Petrol,50.92,First,2017,Expired,Dealer,"? 2,64,822.30",Tier 2
Karnataka,25.16,TVS,Sport,"? 2,60,334.00",2022,923,Hybrid,95.67,Third,2024,Not Available,Individual,"? 1,23,508.94",Metro
Punjab,56.34,Yamaha,FZ V3,"? 3,86,302.00",2023,841,Petrol,44.61,Third,2024,Active,Dealer,"? 2,63,613.91",Tier 3
Uttar Pradesh,51.32,Yamaha,MT-15,"? 1,97,490.00",2019,714,Hybrid,60.34,First,2019,Expired,Dealer,"? 1,57,984.22",Metro
Karnataka,29.74,Royal Enfield,Hunter 350,"? 1,28,372.00",2024,298,Petrol,51.76,Third,2024,Not Available,Individual,"? 66,655.23",Tier 2
Tamil Nadu,53.25,Kawasaki,Ninja 400,"? 66,661.00",2016,509,Electric,87.03,Second,2022,Active,Individual,"? 38,617.72",Metro
Gujarat,10.33,Royal Enfield,Hunter 350,"? 3,21,018.00",2024,923,Petrol,28.41,Second,2024,Expired,Dealer,"? 2,16,205.38",Metro
Uttar Pradesh,29.01,Honda,Activa,"? 2,91,164.00",2023,958,Electric,94.11,Second,2024,Not Available,Individual,"? 1,46,411.42",Tier 1
Uttar Pradesh,30.55,Honda,Unicorn,"? 1,76,589.00",2021,263,Hybrid,61.33,Third,2024,Active,Dealer,"? 1,13,382.26",Tier 2
Karnataka,61.96,Honda,Shine,"? 1,53,290.00",2015,218,Petrol,36.62,First,2015,Expired,Dealer,"? 1,14,763.29",Tier 1
Rajasthan,18.71,Royal Enfield,Himalayan,"? 3,07,447.00",2022,551,Hybrid,86.17,Second,2022,Not Available,Individual,"? 1,82,349.23",Metro
West Bengal,59.06,TVS,Jupiter,"? 51,025.00",2020,608,Petrol,43.35,Second,2021,Expired,Dealer,"? 33,757.13",Tier 1
Tamil Nadu,57.55,KTM,125 Duke,"? 2,16,984.00",2024,355,Petrol,49.89,Third,2024,Expired,Individual,"? 1,14,101.48",Tier 2
Punjab,55.81,Honda,CBR 650R,"? 83,318.00",2017,976,Electric,78.59,Third,2017,Not Available,Dealer,"? 50,310.13",Tier 3
West Bengal,31.99,Bajaj,Dominar 400,"? 1,37,200.00",2018,364,Electric,84.15,Third,2021,Not Available,Individual,"? 1,04,415.55",Tier 2
Delhi,35.84,TVS,Ronin,"? 1,16,707.00",2023,179,Hybrid,95.39,Second,2024,Active,Dealer,"? 56,766.74",Metro
Gujarat,69.45,Bajaj,Dominar 400,"? 3,83,730.00",2015,655,Electric,62.33,Second,2023,Expired,Dealer,"? 3,03,017.21",Tier 2
Delhi,70.34,Kawasaki,Versys 650,"? 2,78,157.00",2015,554,Electric,97.3,First,2015,Active,Dealer,"? 1,53,559.13",Tier 3
West Bengal,33.62,Hero,HF Deluxe,"? 87,335.00",2017,604,Hybrid,64.97,First,2017,Expired,Individual,"? 35,546.25",Metro
Uttar Pradesh,57.41,Bajaj,Dominar 400,"? 3,68,233.00",2023,687,Electric,98.1,Third,2024,Active,Dealer,"? 2,42,784.36",Tier 1
Rajasthan,72.02,KTM,390 Adventure,"? 2,13,426.00",2019,470,Electric,92.08,Third,2024,Active,Dealer,"? 1,04,015.89",Tier 2
Karnataka,57.85,Hero,Splendor Plus,"? 3,19,127.00",2020,814,Electric,89.58,Third,2021,Not Available,Dealer,"? 2,50,361.87",Tier 2
Maharashtra,43.13,Yamaha,FZ V3,"? 55,055.00",2020,156,Hybrid,81.87,First,2020,Not Available,Individual,"? 35,239.68",Tier 2
Punjab,42.81,Kawasaki,Vulcan S,"? 3,69,779.00",2021,378,Petrol,36.64,First,2021,Not Available,Dealer,"? 2,82,553.50",Metro
Maharashtra,54.46,Bajaj,Pulsar 150,"? 1,25,458.00",2017,911,Petrol,53.75,Third,2023,Not Available,Dealer,"? 93,722.09",Tier 3
Punjab,55.37,KTM,RC 390,"? 3,16,757.00",2019,894,Petrol,45.42,Second,2024,Not Available,Individual,"? 2,36,584.57",Tier 3
West Bengal,19.29,Hero,Passion Pro,"? 95,788.00",2017,243,Petrol,48.4,First,2017,Active,Dealer,"? 54,033.28",Metro
West Bengal,20.96,TVS,Jupiter,"? 72,626.00",2020,627,Petrol,31.9,Third,2023,Active,Dealer,"? 57,139.95",Tier 2
Gujarat,42.69,Yamaha,FZ V3,"? 2,80,187.00",2017,780,Petrol,27.26,Third,2022,Not Available,Individual,"? 1,35,536.36",Tier 2
Maharashtra,35.00,Yamaha,Ray ZR,"? 2,54,734.00",2023,909,Electric,97.94,First,2023,Active,Dealer,"? 2,00,389.60",Tier 2
Karnataka,72.58,Bajaj,CT 100,"? 3,17,834.00",2022,570,Electric,64.15,Second,2022,Expired,Individual,"? 1,57,283.36",Metro
Rajasthan,43.28,KTM,390 Adventure,"? 2,56,163.00",2023,235,Electric,66.17,First,2023,Active,Dealer,"? 2,02,146.64",Tier 3
Rajasthan,76.39,Yamaha,Ray ZR,"? 3,48,419.00",2018,788,Hybrid,79.44,Third,2024,Active,Individual,"? 1,54,251.10",Metro
Madhya Pradesh,57.96,Honda,CBR 650R,"? 2,53,143.00",2016,954,Petrol,36.96,Third,2024,Expired,Dealer,"? 1,68,614.56",Metro
Madhya Pradesh,21.83,Royal Enfield,Classic 350,"? 62,774.00",2017,246,Electric,85.53,Second,2022,Active,Dealer,"? 26,524.51",Tier 3
Gujarat,56.46,Royal Enfield,Classic 350,"? 3,32,044.00",2016,942,Electric,90.39,Second,2016,Expired,Individual,"? 1,73,221.42",Tier 2
Punjab,48.84,Hero,Glamour,"? 3,88,052.00",2024,881,Petrol,45.39,Third,2024,Expired,Dealer,"? 2,93,659.66",Metro
Rajasthan,29.99,Hero,Glamour,"? 1,07,191.00",2015,337,Electric,82.06,Second,2020,Expired,Individual,"? 70,184.66",Metro
Madhya Pradesh,52.33,TVS,Apache RTR 160,"? 71,147.00",2024,118,Hybrid,61.3,Third,2024,Expired,Dealer,"? 52,113.17",Tier 2
Tamil Nadu,49.86,Bajaj,Avenger 220,"? 74,703.00",2023,385,Petrol,39.92,First,2023,Not Available,Individual,"? 53,237.28",Metro
Delhi,50.70,Honda,Dio,"? 91,808.00",2022,853,Petrol,47.87,Third,2022,Active,Dealer,"? 71,752.53",Metro
Karnataka,42.43,Yamaha,MT-15,"? 3,06,467.00",2021,384,Electric,81.9,Third,2021,Expired,Individual,"? 2,02,926.83",Tier 3
Madhya Pradesh,21.20,Hero,Xtreme 160R,"? 83,880.00",2022,208,Hybrid,62.87,Third,2024,Not Available,Dealer,"? 65,242.12",Metro
Gujarat,66.72,Kawasaki,Vulcan S,"? 72,262.00",2023,713,Electric,95.68,First,2023,Active,Individual,"? 32,548.50",Metro
Rajasthan,37.96,Bajaj,Avenger 220,"? 3,20,924.00",2020,946,Electric,79.91,First,2020,Not Available,Individual,"? 2,04,232.25",Tier 1
West Bengal,76.55,Honda,Dio,"? 3,40,637.00",2023,767,Electric,70.55,First,2023,Expired,Individual,"? 2,65,348.76",Tier 1
Delhi,35.60,Yamaha,R15 V4,"? 1,25,864.00",2022,759,Hybrid,76.54,Second,2024,Not Available,Individual,"? 57,106.82",Tier 2
Punjab,15.71,Hero,Splendor Plus,"? 2,01,335.00",2019,358,Hybrid,69.85,Third,2024,Active,Individual,"? 1,14,782.20",Tier 2
Madhya Pradesh,68.89,Honda,Shine,"? 1,66,464.00",2020,420,Electric,78.72,First,2020,Active,Dealer,"? 1,04,649.38",Tier 1
Rajasthan,61.25,Hero,Xtreme 160R,"? 58,805.00",2022,878,Petrol,26.21,Second,2022,Not Available,Dealer,"? 41,163.67",Tier 3
Rajasthan,44.50,KTM,250 Duke,"? 3,89,265.00",2022,990,Hybrid,92.24,First,2022,Not Available,Dealer,"? 2,24,465.71",Metro
Karnataka,42.51,Kawasaki,Vulcan S,"? 3,05,164.00",2015,734,Hybrid,83.71,Second,2018,Active,Dealer,"? 1,28,402.00",Metro
Tamil Nadu,22.23,Kawasaki,Ninja 400,"? 3,77,585.00",2022,303,Electric,60.69,Second,2024,Active,Dealer,"? 2,22,498.98",Tier 3
West Bengal,78.76,Royal Enfield,Meteor 350,"? 72,732.00",2024,585,Hybrid,70.94,Second,2024,Active,Dealer,"? 32,615.64",Tier 3
Tamil Nadu,52.99,Hero,Splendor Plus,"? 3,21,612.00",2015,560,Petrol,36.29,First,2015,Not Available,Individual,"? 1,98,944.78",Tier 2
Tamil Nadu,69.03,KTM,390 Adventure,"? 1,43,564.00",2023,749,Electric,72.77,Second,2024,Active,Individual,"? 92,210.20",Tier 3
Gujarat,9.79,Hero,Glamour,"? 2,53,403.00",2016,202,Electric,69.84,Third,2016,Expired,Individual,"? 1,62,302.44",Tier 3
Gujarat,50.87,Bajaj,Pulsar 150,"? 1,78,376.00",2024,876,Hybrid,91.87,Second,2024,Active,Individual,"? 1,13,536.77",Metro
Uttar Pradesh,26.29,Honda,Dio,"? 1,29,775.00",2023,633,Petrol,41.78,Second,2024,Active,Dealer,"? 1,01,527.28",Metro
Rajasthan,45.59,KTM,390 Adventure,"? 1,03,362.00",2017,858,Petrol,50.53,Third,2024,Expired,Individual,"? 70,991.93",Metro
Maharashtra,57.39,Yamaha,Ray ZR,"? 3,48,995.00",2024,166,Hybrid,95.41,Third,2024,Expired,Individual,"? 1,82,835.76",Metro
West Bengal,8.97,KTM,250 Duke,"? 2,43,231.00",2022,927,Hybrid,97.49,Second,2022,Not Available,Dealer,"? 1,84,753.64",Metro
Gujarat,20.96,Kawasaki,Vulcan S,"? 1,96,620.00",2020,604,Electric,92.67,Second,2021,Active,Individual,"? 1,21,754.41",Tier 3
Maharashtra,37.28,Honda,CBR 650R,"? 3,22,268.00",2019,727,Hybrid,65.48,First,2019,Expired,Individual,"? 1,68,811.99",Tier 1
Gujarat,62.15,TVS,NTorq 125,"? 3,95,526.00",2020,911,Hybrid,63.99,First,2020,Expired,Individual,"? 2,55,820.28",Tier 3
Karnataka,52.04,Honda,Activa,"? 3,38,560.00",2021,890,Petrol,45.08,Third,2021,Not Available,Dealer,"? 2,20,667.06",Metro
Tamil Nadu,69.47,TVS,Ronin,"? 2,13,510.00",2021,550,Hybrid,64.33,Second,2024,Expired,Dealer,"? 1,51,252.37",Tier 1
Punjab,34.20,TVS,Sport,"? 2,53,119.00",2023,870,Petrol,47.29,First,2023,Expired,Dealer,"? 1,92,973.09",Tier 1
Rajasthan,39.01,Honda,CBR 650R,"? 2,10,274.00",2016,357,Electric,85.59,First,2016,Active,Dealer,"? 90,271.90",Tier 3
Uttar Pradesh,31.23,Bajaj,Platina 110,"? 2,97,531.00",2016,547,Electric,98.53,Second,2020,Expired,Individual,"? 2,26,630.16",Tier 3
Gujarat,33.86,TVS,Sport,"? 1,15,462.00",2015,575,Petrol,58.02,Third,2021,Not Available,Individual,"? 48,087.41",Tier 1
West Bengal,7.10,Yamaha,R15 V4,"? 3,06,486.00",2019,371,Hybrid,90.78,Third,2019,Active,Dealer,"? 1,73,896.81",Tier 3
Rajasthan,71.01,KTM,RC 390,"? 2,42,243.00",2015,403,Petrol,35.41,Third,2016,Expired,Dealer,"? 1,42,337.64",Tier 1
Uttar Pradesh,56.72,Royal Enfield,Himalayan,"? 3,51,675.00",2021,761,Electric,69.28,First,2021,Not Available,Individual,"? 2,61,916.65",Metro
Madhya Pradesh,14.51,Kawasaki,Ninja 400,"? 1,00,108.00",2019,401,Petrol,50.61,First,2019,Expired,Dealer,"? 54,039.38",Metro
Punjab,59.97,Royal Enfield,Interceptor 650,"? 88,875.00",2021,129,Electric,78.24,Third,2021,Active,Dealer,"? 52,290.54",Tier 2
Karnataka,16.56,Hero,Splendor Plus,"? 3,79,162.00",2023,569,Petrol,27.65,Second,2023,Expired,Dealer,"? 2,06,753.86",Tier 1
Delhi,79.55,Honda,Unicorn,"? 2,46,998.00",2019,600,Hybrid,69.71,First,2019,Expired,Dealer,"? 1,62,166.01",Tier 3
Gujarat,21.21,KTM,RC 390,"? 2,74,683.00",2019,860,Hybrid,96.01,Third,2020,Active,Individual,"? 2,04,366.51",Tier 3
Gujarat,32.85,Honda,Dio,"? 68,213.00",2023,449,Petrol,40.83,Third,2023,Not Available,Dealer,"? 36,231.50",Tier 1
West Bengal,41.64,Royal Enfield,Classic 350,"? 2,24,234.00",2023,705,Hybrid,91.48,Third,2023,Not Available,Dealer,"? 1,48,952.18",Metro
West Bengal,47.44,Royal Enfield,Hunter 350,"? 2,25,506.00",2024,210,Electric,74.55,Second,2024,Expired,Individual,"? 1,22,255.24",Metro
Rajasthan,79.90,KTM,250 Duke,"? 3,95,253.00",2022,115,Hybrid,68.6,First,2022,Active,Dealer,"? 1,76,952.87",Tier 3
Maharashtra,50.99,Royal Enfield,Interceptor 650,"? 1,47,053.00",2020,973,Electric,75.32,Third,2023,Active,Dealer,"? 78,770.13",Metro
Tamil Nadu,75.37,Royal Enfield,Hunter 350,"? 3,90,044.00",2020,810,Petrol,38.22,Second,2021,Expired,Dealer,"? 2,05,021.91",Metro
Gujarat,27.86,TVS,NTorq 125,"? 59,689.00",2017,508,Hybrid,95.41,First,2017,Expired,Dealer,"? 39,986.12",Tier 1
Punjab,19.10,Royal Enfield,Hunter 350,"? 73,278.00",2020,340,Hybrid,60.71,Third,2022,Active,Dealer,"? 42,351.03",Tier 2
Tamil Nadu,28.28,Bajaj,Platina 110,"? 2,06,778.00",2018,600,Petrol,54.86,Third,2024,Not Available,Dealer,"? 1,08,698.60",Tier 1
Delhi,58.05,Hero,Glamour,"? 63,775.00",2018,505,Electric,94.53,Second,2024,Active,Individual,"? 26,801.24",Tier 2
Tamil Nadu,22.39,Royal Enfield,Himalayan,"? 2,47,453.00",2017,589,Hybrid,64.4,First,2017,Active,Individual,"? 1,44,653.04",Tier 2
Maharashtra,75.43,Yamaha,Fascino 125,"? 1,37,307.00",2019,744,Electric,81.66,Third,2021,Active,Dealer,"? 83,586.62",Tier 1
Tamil Nadu,48.45,Royal Enfield,Himalayan,"? 60,077.00",2019,188,Hybrid,75.98,Third,2022,Active,Individual,"? 28,839.44",Tier 2
Tamil Nadu,22.20,Hero,Glamour,"? 1,22,872.00",2022,220,Electric,98.67,First,2022,Active,Dealer,"? 70,268.52",Metro
Tamil Nadu,62.65,Royal Enfield,Hunter 350,"? 1,28,235.00",2021,741,Electric,63.26,Second,2021,Active,Dealer,"? 66,512.03",Tier 3
Punjab,58.63,Royal Enfield,Himalayan,"? 3,66,935.00",2023,571,Petrol,26.51,Second,2023,Not Available,Dealer,"? 1,88,181.72",Metro
Delhi,22.38,Hero,Glamour,"? 3,13,496.00",2020,136,Hybrid,61.94,Second,2020,Not Available,Individual,"? 1,76,070.93",Tier 3
Madhya Pradesh,31.95,Hero,Glamour,"? 76,270.00",2022,991,Electric,95.3,Third,2023,Not Available,Dealer,"? 35,973.48",Metro
Rajasthan,12.38,Hero,Xtreme 160R,"? 2,15,325.00",2021,991,Petrol,31.08,Second,2022,Not Available,Individual,"? 1,33,868.60",Tier 2
Maharashtra,15.45,Bajaj,Avenger 220,"? 2,25,794.00",2016,668,Electric,61.95,First,2016,Expired,Individual,"? 1,10,698.69",Metro
Karnataka,17.20,Kawasaki,Z650,"? 2,13,790.00",2020,169,Hybrid,80.56,Second,2023,Expired,Dealer,"? 1,11,725.27",Metro
Delhi,66.13,Bajaj,Platina 110,"? 2,16,414.00",2015,678,Electric,94.42,Third,2017,Not Available,Individual,"? 98,086.00",Tier 1
Madhya Pradesh,68.26,Yamaha,MT-15,"? 1,26,321.00",2023,305,Hybrid,90.29,Second,2023,Active,Individual,"? 81,343.00",Tier 2
Tamil Nadu,36.40,Yamaha,FZ V3,"? 1,77,618.00",2015,841,Electric,81.66,First,2015,Expired,Individual,"? 1,01,324.45",Metro
Rajasthan,78.34,Kawasaki,Z650,"? 2,70,013.00",2017,526,Electric,75.72,First,2017,Expired,Dealer,"? 1,97,594.90",Tier 2
Uttar Pradesh,48.74,KTM,Duke 200,"? 66,595.00",2023,808,Electric,95.2,Third,2024,Active,Dealer,"? 50,018.27",Tier 1
Punjab,45.10,Kawasaki,Vulcan S,"? 3,93,154.00",2020,568,Petrol,36.22,Third,2024,Expired,Dealer,"? 2,92,425.77",Tier 2
Punjab,78.30,Royal Enfield,Himalayan,"? 1,53,894.00",2024,388,Hybrid,79.06,First,2024,Not Available,Individual,"? 68,260.33",Tier 2
Madhya Pradesh,31.24,Yamaha,R15 V4,"? 2,41,252.00",2020,789,Electric,78.92,Second,2023,Expired,Dealer,"? 1,63,819.74",Tier 1
Rajasthan,39.99,TVS,Apache RTR 160,"? 3,21,528.00",2015,896,Petrol,54.49,Second,2019,Not Available,Individual,"? 1,88,841.28",Tier 2
Tamil Nadu,50.45,Hero,Glamour,"? 77,284.00",2019,862,Hybrid,98.54,First,2019,Expired,Dealer,"? 61,522.08",Tier 2
Tamil Nadu,15.21,KTM,250 Duke,"? 81,860.00",2018,692,Petrol,30.44,First,2018,Expired,Dealer,"? 44,721.45",Metro
Uttar Pradesh,76.86,TVS,Ronin,"? 1,10,073.00",2016,131,Electric,64.33,First,2016,Not Available,Individual,"? 47,622.54",Tier 1
Karnataka,15.11,Yamaha,Ray ZR,"? 2,84,754.00",2023,853,Electric,67.26,Third,2024,Expired,Dealer,"? 1,81,829.44",Metro
Punjab,23.62,Bajaj,Pulsar 150,"? 3,91,632.00",2020,752,Hybrid,80.28,Third,2020,Not Available,Individual,"? 3,11,437.07",Tier 1
Uttar Pradesh,77.99,TVS,Apache RTR 160,"? 2,27,065.00",2016,580,Petrol,30.79,Third,2024,Active,Dealer,"? 1,51,705.94",Tier 1
Maharashtra,45.25,Yamaha,MT-15,"? 2,19,097.00",2015,243,Petrol,47.84,First,2015,Expired,Individual,"? 1,55,701.28",Tier 2
Karnataka,38.89,Hero,Splendor Plus,"? 3,71,758.00",2019,815,Hybrid,65.03,Third,2019,Expired,Individual,"? 2,95,308.61",Tier 3
Madhya Pradesh,53.99,KTM,250 Duke,"? 2,96,698.00",2019,662,Petrol,33.27,Third,2023,Not Available,Dealer,"? 2,15,187.12",Tier 2
Rajasthan,45.51,KTM,Duke 200,"? 2,62,590.00",2019,107,Petrol,48.32,First,2019,Not Available,Dealer,"? 1,16,973.73",Metro
Karnataka,17.21,Yamaha,Fascino 125,"? 1,50,373.00",2015,592,Hybrid,72.37,First,2015,Not Available,Individual,"? 1,13,475.91",Tier 3
Delhi,24.22,Hero,Passion Pro,"? 3,94,722.00",2016,901,Hybrid,68.55,Third,2018,Expired,Dealer,"? 3,09,824.51",Tier 2
Tamil Nadu,5.44,Honda,Activa,"? 2,45,736.00",2021,117,Hybrid,67.65,Second,2022,Active,Individual,"? 1,75,411.26",Metro
Delhi,65.49,Royal Enfield,Hunter 350,"? 3,42,774.00",2018,489,Petrol,43.83,Second,2024,Active,Individual,"? 2,00,197.27",Tier 3
Punjab,38.56,TVS,Apache RTR 160,"? 1,52,301.00",2017,974,Petrol,59.82,Second,2024,Not Available,Individual,"? 83,409.07",Tier 3
Maharashtra,51.39,Bajaj,Pulsar 150,"? 3,73,064.00",2022,584,Petrol,42.22,Third,2024,Expired,Individual,"? 2,67,307.51",Metro
Maharashtra,34.86,Yamaha,MT-15,"? 1,02,267.00",2023,466,Petrol,32.14,Third,2024,Active,Individual,"? 49,510.03",Tier 3
West Bengal,77.85,KTM,390 Adventure,"? 1,82,936.00",2023,641,Petrol,53.49,Third,2024,Not Available,Dealer,"? 78,932.88",Metro
Karnataka,25.84,Hero,Splendor Plus,"? 3,97,125.00",2020,419,Hybrid,96.79,Third,2023,Expired,Individual,"? 1,90,208.73",Tier 2
Maharashtra,75.37,TVS,Ronin,"? 2,57,906.00",2018,558,Petrol,31.6,Third,2023,Expired,Individual,"? 1,11,465.87",Metro
Madhya Pradesh,31.30,Yamaha,FZ V3,"? 2,84,337.00",2019,616,Electric,86.11,First,2019,Expired,Dealer,"? 2,13,301.79",Tier 1
Uttar Pradesh,44.86,Yamaha,Fascino 125,"? 3,98,118.00",2018,600,Electric,85.72,Second,2019,Expired,Dealer,"? 3,06,197.21",Tier 2
Uttar Pradesh,62.01,Hero,Xtreme 160R,"? 1,05,559.00",2020,788,Hybrid,92.89,Second,2023,Not Available,Individual,"? 83,287.49",Tier 2
Madhya Pradesh,45.64,TVS,Apache RTR 160,"? 3,83,794.00",2022,485,Hybrid,89.07,First,2022,Not Available,Dealer,"? 1,65,262.96",Metro
Madhya Pradesh,19.77,Yamaha,R15 V4,"? 3,07,526.00",2020,973,Petrol,35.05,First,2020,Not Available,Dealer,"? 2,30,855.41",Tier 1
Gujarat,59.94,Honda,Shine,"? 1,80,159.00",2021,162,Electric,85.14,Second,2024,Expired,Dealer,"? 1,33,340.64",Tier 3
West Bengal,73.26,KTM,125 Duke,"? 3,25,905.00",2021,138,Petrol,44.9,First,2021,Not Available,Individual,"? 1,69,274.38",Tier 3
Tamil Nadu,24.49,Hero,Glamour,"? 2,34,922.00",2022,176,Petrol,27.55,Second,2024,Not Available,Dealer,"? 1,00,503.82",Tier 1
Tamil Nadu,68.94,Hero,Passion Pro,"? 1,98,991.00",2020,896,Petrol,40.72,Second,2023,Not Available,Individual,"? 1,15,717.79",Tier 3
Maharashtra,12.86,Kawasaki,Vulcan S,"? 3,16,117.00",2024,613,Petrol,53.97,Third,2024,Not Available,Dealer,"? 1,92,098.16",Tier 2
Madhya Pradesh,44.81,Royal Enfield,Meteor 350,"? 89,572.00",2024,908,Electric,94.13,Second,2024,Active,Dealer,"? 68,448.66",Metro
Punjab,21.56,Kawasaki,Ninja 400,"? 3,42,544.00",2023,629,Petrol,54.64,Third,2023,Active,Individual,"? 1,84,670.86",Tier 1
Rajasthan,79.47,Yamaha,Fascino 125,"? 2,35,310.00",2021,813,Hybrid,87.58,Second,2022,Expired,Individual,"? 1,86,700.59",Tier 2
